date,amount,product
2024-01-01,110.09,A
2024-01-02,77.53,B
2024-01-03,80.11,A
2024-01-04,113.46,B
2024-01-05,80.42,C
2024-01-06,84.08,A
2024-01-07,100.34,A
2024-01-08,92.86,A
2024-01-09,101.05,A
2024-01-10,118.85,B
2024-01-11,93.85,A
2024-01-12,75.41,C
2024-01-13,118.97,B
2024-01-14,72.65,C
2024-01-15,78.87,C
2024-01-16,111.56,B
2024-01-17,81.18,A
2024-01-18,88.49,B
2024-01-19,119.26,A
2024-01-20,102.14,C
2024-01-21,114.9,B
2024-01-22,78.95,A
2024-01-23,73.06,C
2024-01-24,107.59,A
2024-01-25,85,C
2024-01-26,87.38,B
2024-01-27,78.62,A
2024-01-28,106.27,B
2024-01-29,73.05,B
2024-01-30,112.39,B
2024-01-31,83.11,A
2024-02-01,91.91,A
2024-02-02,74.12,C
2024-02-03,74.26,B
2024-02-04,70.72,C
2024-02-05,96.35,B
2024-02-06,99.98,A
2024-02-07,119.73,A
2024-02-08,70.18,A
2024-02-09,109.25,A
2024-02-10,124.81,C
2024-02-11,97.67,B
2024-02-12,107,A
2024-02-13,92.37,A
2024-02-14,96.22,C
2024-02-15,101.94,B
2024-02-16,87.84,C
2024-02-17,105.2,C
2024-02-18,71.16,C
2024-02-19,127.46,A
2024-02-20,112.64,A
2024-02-21,76.19,B
2024-02-22,89.99,C
2024-02-23,78.91,A
2024-02-24,82.94,B
2024-02-25,100.77,C
2024-02-26,115.97,C
2024-02-27,112.9,A
2024-02-28,103.12,C
2024-02-29,109.05,A
2024-03-01,90.72,C
2024-03-02,71.63,A
2024-03-03,85.93,A
2024-03-04,82.97,B
2024-03-05,95.33,A
2024-03-06,129.61,A
2024-03-07,76.37,A
2024-03-08,89.43,C
2024-03-09,119.55,A
2024-03-10,72.53,C
2024-03-11,123.75,A
2024-03-12,125.57,C
2024-03-13,86.77,B
2024-03-14,108.07,B
2024-03-15,81.54,A
2024-03-16,80.98,A
2024-03-17,83.85,C
2024-03-18,129.25,C
2024-03-19,78.11,C
2024-03-20,81.2,A
2024-03-21,103.6,B
2024-03-22,112.75,A
2024-03-23,105.89,B
2024-03-24,122.86,B
2024-03-25,90.89,C
2024-03-26,97.82,B
2024-03-27,126.86,C
2024-03-28,77.7,A
2024-03-29,70.17,A
2024-03-30,126.42,C
2024-03-31,94.24,B
2024-04-01,94,A
2024-04-02,124.64,C
2024-04-03,123.43,A
2024-04-04,90.03,B
2024-04-05,106.96,C
2024-04-06,119.34,C
2024-04-07,86.83,B
2024-04-08,101.54,C
2024-04-09,84.83,C
2024-04-10,109.87,A
2024-04-11,86.63,A
2024-04-12,120.02,B
2024-04-13,74.91,B
2024-04-14,118.31,C
2024-04-15,116.73,C
2024-04-16,126.59,B
2024-04-17,123.45,C
2024-04-18,79.37,B
2024-04-19,82.67,B
2024-04-20,100.05,C
2024-04-21,76.66,C
2024-04-22,90.87,B
2024-04-23,113.24,A
2024-04-24,101.79,C
2024-04-25,104.9,A
2024-04-26,126.08,A
2024-04-27,73.34,A
2024-04-28,88.82,A
2024-04-29,87.48,A
2024-04-30,122.92,B
2024-05-01,92.05,B
2024-05-02,115.8,B
2024-05-03,129.96,B
2024-05-04,121.39,A
2024-05-05,81.01,C
2024-05-06,105.58,B
2024-05-07,93.23,C
2024-05-08,74.71,B
2024-05-09,122.84,A
2024-05-10,125.16,C
2024-05-11,123.44,A
2024-05-12,87.9,B
2024-05-13,71.12,C
2024-05-14,94.66,C
2024-05-15,109.33,C
2024-05-16,87.77,C
2024-05-17,115.13,A
2024-05-18,90.45,B
2024-05-19,72.56,C
2024-05-20,101.31,B
2024-05-21,90.63,A
2024-05-22,106.31,B
2024-05-23,106.33,A
2024-05-24,109.91,A
2024-05-25,78.15,C
2024-05-26,87.45,C
2024-05-27,91.08,A
2024-05-28,104.76,B
2024-05-29,79.33,A
2024-05-30,108.64,A
2024-05-31,126.69,A
2024-06-01,109.35,A
2024-06-02,108.51,B
2024-06-03,121.64,B
2024-06-04,106.92,B
2024-06-05,95.71,A
2024-06-06,117.43,B
2024-06-07,102.25,C
2024-06-08,94.68,B
2024-06-09,128.48,C
2024-06-10,83.54,A
2024-06-11,102.42,C
2024-06-12,111.63,A
2024-06-13,105.36,C
2024-06-14,97.09,C
2024-06-15,100.11,C
2024-06-16,72.48,B
2024-06-17,95.21,A
2024-06-18,103.76,B
2024-06-19,70.11,C
2024-06-20,97.68,A
2024-06-21,99.05,C
2024-06-22,94.84,A
2024-06-23,81.3,C
2024-06-24,97.79,C
2024-06-25,126.38,B
2024-06-26,82.51,C
2024-06-27,122.98,B
2024-06-28,108.39,C
2024-06-29,100.3,A
2024-06-30,73.79,A
2024-07-01,124.28,B
2024-07-02,125.17,B
2024-07-03,79.24,B
2024-07-04,78.05,B
2024-07-05,76.57,A
2024-07-06,109.17,A
2024-07-07,84.13,C
2024-07-08,119.63,C
2024-07-09,93.94,B
2024-07-10,77.73,C
2024-07-11,87.31,B
2024-07-12,73.01,A
2024-07-13,109.06,A
2024-07-14,101.82,C
2024-07-15,101.43,C
2024-07-16,124.07,C
2024-07-17,123.39,B
2024-07-18,94.26,C
2024-07-19,117.71,C
2024-07-20,126.49,C
2024-07-21,109.76,A
2024-07-22,117.86,C
2024-07-23,120.87,A
2024-07-24,112.71,C
2024-07-25,118.38,C
2024-07-26,96.63,C
2024-07-27,81.74,A
2024-07-28,119.24,B
2024-07-29,104.52,C
2024-07-30,125.09,A
2024-07-31,120.81,B
2024-08-01,121,B
2024-08-02,76.23,C
2024-08-03,77.91,C
2024-08-04,100.74,C
2024-08-05,71.84,B
2024-08-06,109.4,A
2024-08-07,77.78,A
2024-08-08,114.8,A
2024-08-09,79.19,B
2024-08-10,92.94,B
2024-08-11,128.82,C
2024-08-12,86.56,C
2024-08-13,98.89,B
2024-08-14,101.9,A
2024-08-15,87,C
2024-08-16,125.61,C
2024-08-17,127.87,A
2024-08-18,84.35,B
2024-08-19,119.84,C
2024-08-20,73.29,C
2024-08-21,97.24,C
2024-08-22,117,C
2024-08-23,85,C
2024-08-24,78.47,B
2024-08-25,106.83,B
2024-08-26,115.92,B
2024-08-27,110.65,A
2024-08-28,92.03,A
2024-08-29,76.81,A
2024-08-30,99.65,B
2024-08-31,91.09,B
2024-09-01,111.1,A
2024-09-02,107.63,C
2024-09-03,91.19,C
2024-09-04,127.6,B
2024-09-05,87.09,A
2024-09-06,94.57,B
2024-09-07,76.61,A
2024-09-08,125.58,B
2024-09-09,114.66,B
2024-09-10,98.66,C
2024-09-11,95.81,C
2024-09-12,76.69,B
2024-09-13,82.25,C
2024-09-14,126.88,A
2024-09-15,87.68,C
2024-09-16,92.68,B
2024-09-17,98.62,C
2024-09-18,79.17,B
2024-09-19,85.76,B
2024-09-20,101.49,A
2024-09-21,109.68,A
2024-09-22,80.49,B
2024-09-23,72.66,A
2024-09-24,80.36,A
2024-09-25,82.83,C
2024-09-26,91.9,C
2024-09-27,72.11,B
2024-09-28,72.3,C
2024-09-29,72.55,A
2024-09-30,104.26,C
2024-10-01,121.98,C
2024-10-02,72.63,B
2024-10-03,124.17,C
2024-10-04,74.6,A
2024-10-05,129.38,A
2024-10-06,77.42,A
2024-10-07,74.71,A
2024-10-08,84.93,A
2024-10-09,108.93,B
2024-10-10,95.72,A
2024-10-11,100.55,C
2024-10-12,123.1,B
2024-10-13,91.38,B
2024-10-14,100.4,A
2024-10-15,126.82,A
2024-10-16,105.22,A
2024-10-17,124.25,C
2024-10-18,97.62,C
2024-10-19,83.89,B
2024-10-20,104.89,A
2024-10-21,72.84,A
2024-10-22,84.1,C
2024-10-23,106.22,A
2024-10-24,118.74,C
2024-10-25,81.55,C
2024-10-26,82.75,B
2024-10-27,113.53,B
2024-10-28,79.75,A
2024-10-29,128.57,B
2024-10-30,82.43,B
2024-10-31,91.66,A
2024-11-01,80.66,C
2024-11-02,112.59,A
2024-11-03,91.91,A
2024-11-04,111.43,B
2024-11-05,125.4,A
2024-11-06,72.74,A
2024-11-07,71.97,B
2024-11-08,99.31,C
2024-11-09,127.82,A
2024-11-10,110.5,B
2024-11-11,120.6,A
2024-11-12,74.75,A
2024-11-13,92.98,B
2024-11-14,111.45,A
2024-11-15,119.44,C
2024-11-16,94.24,A
2024-11-17,118.94,A
2024-11-18,122.22,B
2024-11-19,82.43,B
2024-11-20,113.83,B
2024-11-21,81.63,C
2024-11-22,127.61,A
2024-11-23,92.18,B
2024-11-24,97.47,C
2024-11-25,109.27,A
2024-11-26,100.77,C
2024-11-27,114.44,C
2024-11-28,81.85,A
2024-11-29,107.13,B
2024-11-30,107.93,C
2024-12-01,102.06,B
2024-12-02,107.48,A
2024-12-03,108.01,C
2024-12-04,96.19,A
2024-12-05,105.45,C
2024-12-06,115.65,B
2024-12-07,101.82,A
2024-12-08,95.71,A
2024-12-09,76.2,C
2024-12-10,118.11,C
2024-12-11,127.33,C
2024-12-12,109.78,C
2024-12-13,84.53,B
2024-12-14,95.51,A
2024-12-15,118.53,C
2024-12-16,125.09,C
2024-12-17,127.38,C
2024-12-18,73.17,C
2024-12-19,77.14,C
2024-12-20,102.48,B
2024-12-21,72.21,B
2024-12-22,76.62,C
2024-12-23,84.84,A
2024-12-24,94.98,B
2024-12-25,88.62,A
2024-12-26,70.64,C
2024-12-27,114.18,C
2024-12-28,129.78,B
2024-12-29,112.6,C
2024-12-30,125.56,A
2024-12-31,97.28,B
2025-01-01,83.05,C
2025-01-02,71.99,A
2025-01-03,95.13,C
2025-01-04,72.11,B
2025-01-05,128.83,A
2025-01-06,91.78,A
2025-01-07,122.37,B
2025-01-08,122.76,C
2025-01-09,104.1,A
2025-01-10,72.48,C
2025-01-11,116,C
2025-01-12,114.73,A
2025-01-13,125.95,A
2025-01-14,116.94,B
2025-01-15,76.65,A
2025-01-16,121.95,B
2025-01-17,72.11,C
2025-01-18,82.83,A
2025-01-19,110.19,A
2025-01-20,113.13,B
2025-01-21,107.06,C
2025-01-22,77.05,C
2025-01-23,91.09,B
2025-01-24,120.98,B
2025-01-25,109.92,C
2025-01-26,84.43,C
2025-01-27,78.08,C
2025-01-28,105.58,B
2025-01-29,75.35,C
2025-01-30,79.57,A
2025-01-31,128.17,B
2025-02-01,99.81,C
2025-02-02,96.73,C
2025-02-03,86.61,A
2025-02-04,88.63,B
2025-02-05,87.42,B
2025-02-06,93.14,B
2025-02-07,79.28,A
2025-02-08,105.61,A
2025-02-09,121.13,B
2025-02-10,93.06,A
2025-02-11,120.57,B
2025-02-12,74.17,A
2025-02-13,83.84,B
2025-02-14,75.05,C
2025-02-15,81.19,C
2025-02-16,129.75,B
2025-02-17,111.71,A
2025-02-18,82.34,B
2025-02-19,85.22,B
2025-02-20,78.86,B
2025-02-21,79.7,A
2025-02-22,97.58,C
2025-02-23,96.15,C
2025-02-24,101.66,B
2025-02-25,124.79,A
2025-02-26,128.64,B
2025-02-27,118.03,B
2025-02-28,111.06,A
2025-03-01,106.06,B
2025-03-02,116.03,C
2025-03-03,76.69,B
2025-03-04,95.04,B
2025-03-05,95.02,C
2025-03-06,110.9,A
2025-03-07,121.5,A
2025-03-08,117.55,B
2025-03-09,91.62,C
2025-03-10,78.91,C
2025-03-11,124.08,A
2025-03-12,106.52,B
2025-03-13,119.51,B
2025-03-14,117.64,A
2025-03-15,121.77,B
2025-03-16,114.01,A
2025-03-17,94.38,A
2025-03-18,120.77,C
2025-03-19,105.2,A
2025-03-20,102.55,B
2025-03-21,108.66,A
2025-03-22,94.63,B
2025-03-23,74.58,B
2025-03-24,110.24,C
2025-03-25,85.03,B
2025-03-26,87.47,A
2025-03-27,100.64,C
2025-03-28,84.08,B
2025-03-29,117.55,A
2025-03-30,75.93,B
2025-03-31,118.56,A
2025-04-01,105.23,A
2025-04-02,77.09,B
2025-04-03,109.46,C
2025-04-04,88.02,C
2025-04-05,124.71,A
2025-04-06,81.26,B
2025-04-07,78.21,C
2025-04-08,119.88,A
2025-04-09,93.79,B
2025-04-10,123.07,A
2025-04-11,123.57,B
2025-04-12,73.2,B
2025-04-13,101.51,B
2025-04-14,120.11,B
2025-04-15,73.6,A
2025-04-16,77.49,C
2025-04-17,114.94,B
2025-04-18,95.34,B
2025-04-19,97.95,B
2025-04-20,118.36,C
2025-04-21,97.99,A
2025-04-22,104.02,A
2025-04-23,122.96,C
2025-04-24,115.98,B
2025-04-25,101.66,C
2025-04-26,123.88,C
2025-04-27,110.3,C
2025-04-28,92.86,A
2025-04-29,71.16,B
2025-04-30,77.24,A
2025-05-01,127.21,C
2025-05-02,122.79,B
2025-05-03,70.71,A
2025-05-04,120.47,C
2025-05-05,98.15,B
2025-05-06,103.52,C
2025-05-07,103.32,A
2025-05-08,103.65,B
2025-05-09,119.02,C
2025-05-10,116.83,B
2025-05-11,114.21,B
2025-05-12,127.57,A
2025-05-13,93.65,B
2025-05-14,88.88,C
2025-05-15,129.37,A
2025-05-16,89.11,A
2025-05-17,88.59,B
2025-05-18,125.72,B
2025-05-19,95.85,C
2025-05-20,78.56,C
2025-05-21,74.76,A
2025-05-22,122.43,A
2025-05-23,82.57,C
2025-05-24,80.92,C
